page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image     598   479  icc     3   8  image  no       781  0   631   630  184K  22%
   1     1 smask     598   479  gray    1   8  image  no       781  0   631   630 17.0K 6.1%
   1     2 image    4900  2005  icc     3   8  image  no       782  0   296   297 2438K 8.5%
   1     3 smask    4900  2005  gray    1   8  image  no       782  0   296   297 1042K  11%
   1     4 image     503  1104  icc     3   8  image  no       783  0   464   463 53.9K 3.3%
   1     5 smask     503  1104  gray    1   8  image  no       783  0   464   463 45.4K 8.4%
   1     6 image     258   258  icc     3   8  jpeg   no       784  0   282   282 34.7K  18%
   2     7 image     996   798  icc     3   8  image  no       793  0   498   498  432K  19%
   2     8 smask     996   798  gray    1   8  image  no       793  0   498   498 31.4K 4.1%
   4     9 image    2280  1640  icc     3   8  image  no      1516  0   146   146  101K 0.9%
   4    10 image    1839  1839  rgb     3   8  image  no       809  0   300   300 70.8K 0.7%
   4    11 smask    1839  1839  gray    1   8  image  no       809  0   300   300 48.1K 1.5%
   4    12 image     381   256  icc     3   8  image  no       810  0   318   319  218K  76%
   4    13 smask     381   256  gray    1   8  image  no       810  0   318   319  123B 0.1%
   4    14 image     452   302  icc     3   8  image  no       811  0   245   244  114K  29%
   4    15 image     598   479  icc     3   8  image  no       812  0   479   479  184K  22%
   4    16 smask     598   479  gray    1   8  image  no       812  0   479   479 17.0K 6.1%
   4    17 image     431   536  icc     3   8  image  no       813  0   345   345  523K  77%
   4    18 image     985   397  icc     3   8  image  no       814  0   354   356  785K  68%
   4    19 image     981   684  icc     3   8  image  no       815  0   581   581 1295K  66%
   4    20 image     981   642  icc     3   8  image  no       816  0   506   505  797K  43%
   4    21 smask     981   642  gray    1   8  image  no       816  0   506   505  143K  23%
   4    22 image     931   514  icc     3   8  image  no       817  0   371   371  684K  49%
   4    23 image    1045   852  icc     3   8  image  no       818  0   413   413 1023K  39%
   4    24 smask    1045   852  gray    1   8  image  no       818  0   413   413  110K  13%
   4    25 image     663   453  icc     3   8  image  no       819  0   419   418  267K  30%
   4    26 smask     663   453  gray    1   8  image  no       819  0   419   418 4449B 1.5%
   4    27 image    1008   562  icc     3   8  image  no       820  0   374   375 4359B 0.3%
   4    28 smask    1008   562  gray    1   8  image  no       820  0   374   375 14.4K 2.6%
   4    29 image    1536   864  icc     3   8  image  no      1527  0   534   535  400K  10%
   4    30 smask    1536   864  gray    1   8  image  no      1527  0   534   535  147K  11%
   4    31 image    1096   822  icc     3   8  image  no       822  0   529   526  346K  13%
   4    32 smask    1096   822  gray    1   8  image  no       822  0   529   526 10.4K 1.2%
   4    33 image    1536  1057  icc     3   8  image  no       824  0   590   590  959K  20%
   4    34 smask    1536  1057  gray    1   8  image  no       824  0   590   590  367K  23%
   5    35 image    3812  2623  icc     3   8  image  no       829  0   259   259 2301K 7.9%
   5    36 smask    3812  2623  gray    1   8  image  no       829  0   259   259  145K 1.5%
   5    37 image    1440   802  icc     3   8  image  no       830  0   112   112 5603B 0.2%
   5    38 smask    1440   802  gray    1   8  image  no       830  0   112   112 22.4K 2.0%
   5    39 image    2048  2048  icc     3   8  image  no       834  0   347   347 1388K  11%
   5    40 smask    2048  2048  gray    1   8  image  no       834  0   347   347 65.1K 1.6%
   5    41 image    2304  1296  icc     3   8  image  no       835  0   415   415  498K 5.7%
   5    42 smask    2304  1296  gray    1   8  image  no       835  0   415   415  175K 6.0%
   5    43 image    1826  1369  icc     3   8  image  no       836  0   455   455  730K  10%
   5    44 smask    1826  1369  gray    1   8  image  no       836  0   455   455 16.1K 0.7%
   6    45 image    2304  1586  icc     3   8  image  no       852  0   428   429 1377K  13%
   6    46 smask    2304  1586  gray    1   8  image  no       852  0   428   429  214K 6.0%
   6    47 image     925   660  icc     3   8  image  no       854  0   204   204  562K  31%
   6    48 image     925   660  icc     3   8  image  no       854  0   204   204  562K  31%
   6    49 image     925   660  icc     3   8  image  no       854  0   204   204  562K  31%
   6    50 image     925   660  icc     3   8  image  no       854  0   194   194  562K  31%
   7    51 image    2469  1984  icc     3   8  image  no       861  0   359   359 1484K  10%
   7    52 smask    2469  1984  gray    1   8  image  no       861  0   359   359 59.6K 1.2%
   7    53 image    1092   614  icc     3   8  image  no       863  0   516   517 1183K  60%
   7    54 image     890   754  icc     3   8  image  no       864  0   438   439  947K  48%
   7    55 image    1092   615  icc     3   8  image  no       865  0   479   480 1315K  67%
   7    56 image     715   426  icc     3   8  image  no       866  0   325   325  554K  62%
   7    57 image     648   486  icc     3   8  image  no       867  0   340   341  297K  32%
   7    58 image    1064   631  icc     3   8  image  no       868  0   496   497  890K  45%
   8    59 image    3072  1728  icc     3   8  image  no      1737  0   385   385 1564K  10%
   8    60 smask    3072  1728  gray    1   8  image  no      1737  0   385   385  593K  11%
   9    61 image    1093   614  icc     3   8  image  no       926  0   520   517 1117K  57%
   9    62 image    1093   614  icc     3   8  image  no       927  0   541   541 1292K  66%
   9    63 image    1093   614  icc     3   8  image  no       928  0   567   567 1596K  81%
   9    64 image    1377   761  icc     3   8  image  no       929  0   495   494  754K  25%
   9    65 image     498   332  icc     3   8  image  no       930  0   248   247  177K  37%
   9    66 image     744   480  icc     3   8  image  no       931  0   368   369  464K  44%
   9    67 image    2508  1672  icc     3   8  image  no       932  0   326   326  233K 1.9%
   9    68 smask    2508  1672  gray    1   8  image  no       932  0   326   326 17.6K 0.4%
  10    69 image    2048  2048  icc     3   8  image  no       939  0   265   265 1388K  11%
  10    70 smask    2048  2048  gray    1   8  image  no       939  0   265   265 65.1K 1.6%
  11    71 image    2688  1850  icc     3   8  image  no       987  0   351   351 3244K  22%
  11    72 smask    2688  1850  gray    1   8  image  no       987  0   351   351 1286K  26%
  12    73 image    1920  1321  icc     3   8  image  no      1017  0   493   494 1372K  18%
  12    74 smask    1920  1321  gray    1   8  image  no      1017  0   493   494 24.1K 1.0%
  12    75 image    1920  1321  icc     3   8  image  no      1018  0   455   456  882K  12%
  12    76 smask    1920  1321  gray    1   8  image  no      1018  0   455   456  413K  17%
  12    77 image    1536  1057  icc     3   8  image  no      1019  0   438   437  959K  20%
  12    78 smask    1536  1057  gray    1   8  image  no      1019  0   438   437  367K  23%
  12    79 image    1536  1057  icc     3   8  image  no      1020  0   404   404  242K 5.1%
  12    80 smask    1536  1057  gray    1   8  image  no      1020  0   404   404 3851B 0.2%
  13    81 image     634   414  icc     3   8  image  no      2009  0   131   131  139K  18%
  13    82 smask     634   414  gray    1   8  image  no      2009  0   131   131 3950B 1.5%
  13    83 image     216   120  icc     3   8  jpeg   no      2012  0    71    71 16.2K  21%
